x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
2.09384766e-02,4.54870749e+02,3.30004261e+00,2.38309353e-02,1.37971700e-05,2.29589797e-05,2.17203574e-01,3.31704401e-04,6.86298993e-03,7.63656456e-04,1.59204527e-04,0.00000000e+00
2.09392090e-02,4.58455789e+02,3.32472688e+00,2.37773626e-02,1.47288647e-05,2.40525181e-05,2.17029439e-01,3.45724538e-04,7.08525119e-03,7.65588810e-04,1.61534633e-04,0.00000000e+00
2.09399414e-02,4.62083717e+02,3.34970233e+00,2.37234632e-02,1.57091676e-05,2.51860079e-05,2.16851690e-01,3.59976751e-04,7.31213315e-03,7.66912513e-04,1.63810676e-04,0.00000000e+00
2.09406738e-02,4.65753554e+02,3.37496174e+00,2.36692418e-02,1.67395473e-05,2.63600609e-05,2.16670336e-01,3.74440037e-04,7.54362675e-03,7.67639735e-04,1.66030094e-04,0.00000000e+00
2.09414062e-02,4.69464276e+02,3.40049755e+00,2.36147032e-02,1.78214215e-05,2.75752529e-05,2.16485388e-01,3.89092224e-04,7.77971775e-03,7.67784886e-04,1.68190426e-04,0.00000000e+00
2.09421387e-02,4.73214856e+02,3.42630219e+00,2.35598522e-02,1.89562066e-05,2.88321687e-05,2.16296858e-01,4.03910301e-04,8.02039160e-03,7.67363840e-04,1.70289260e-04,0.00000000e+00
2.09428711e-02,4.77004228e+02,3.45236785e+00,2.35046934e-02,2.01452603e-05,3.01313637e-05,2.16104764e-01,4.18870361e-04,8.26562885e-03,7.66394317e-04,1.72324292e-04,0.00000000e+00
2.09443359e-02,4.84695619e+02,3.50525461e+00,2.33934768e-02,2.26895178e-05,3.28575633e-05,2.15710037e-01,4.49137817e-04,8.76960082e-03,7.62871719e-04,1.76196097e-04,0.00000000e+00
2.09458008e-02,4.92527223e+02,3.55907531e+00,2.32810878e-02,2.54654632e-05,3.57571021e-05,2.15301594e-01,4.79670109e-04,9.29121391e-03,7.57439887e-04,1.79793182e-04,0.00000000e+00
2.09472656e-02,5.00490261e+02,3.61376571e+00,2.31675622e-02,2.84825506e-05,3.88344408e-05,2.14879642e-01,5.10265090e-04,9.83023093e-03,7.50277923e-04,1.83101190e-04,0.00000000e+00
2.09487305e-02,5.08575905e+02,3.66926140e+00,2.30529352e-02,3.17494562e-05,4.20942978e-05,2.14444415e-01,5.40720981e-04,1.03863848e-02,7.41573200e-04,1.86107555e-04,0.00000000e+00
2.09501953e-02,5.16775352e+02,3.72549827e+00,2.29372414e-02,3.52740180e-05,4.55418120e-05,2.13996172e-01,5.70840637e-04,1.09593824e-02,7.31516241e-04,1.88801645e-04,0.00000000e+00
2.09516602e-02,5.25079887e+02,3.78241301e+00,2.28205148e-02,3.90631928e-05,4.91827107e-05,2.13535190e-01,6.00435504e-04,1.15489078e-02,7.20296187e-04,1.91174870e-04,0.00000000e+00
2.09531250e-02,5.33480946e+02,3.83994357e+00,2.27027888e-02,4.31230306e-05,5.30234791e-05,2.13061761e-01,6.29329125e-04,1.21546266e-02,7.08096945e-04,1.93220753e-04,0.00000000e+00
2.09545898e-02,5.41970160e+02,3.89802944e+00,2.25840962e-02,4.74586660e-05,5.70715241e-05,2.12576186e-01,6.57360109e-04,1.27761889e-02,6.95094058e-04,1.94934970e-04,0.00000000e+00
2.09560547e-02,5.50539401e+02,3.95661199e+00,2.24644691e-02,5.20743256e-05,6.13353321e-05,2.12078772e-01,6.84384500e-04,1.34132340e-02,6.81452298e-04,1.96315333e-04,0.00000000e+00
2.09575195e-02,5.59180813e+02,4.01563473e+00,2.23439390e-02,5.69733496e-05,6.58246135e-05,2.11569827e-01,7.10277513e-04,1.40653933e-02,6.67323951e-04,1.97361750e-04,0.00000000e+00
2.09589844e-02,5.67886842e+02,4.07504348e+00,2.22225364e-02,6.21582262e-05,7.05504336e-05,2.11049654e-01,7.34934649e-04,1.47322942e-02,6.52847737e-04,1.98076141e-04,0.00000000e+00
2.09604492e-02,5.76650251e+02,4.13478649e+00,2.21002913e-02,6.76306359e-05,7.55253264e-05,2.10518547e-01,7.58272219e-04,1.54135638e-02,6.38148282e-04,1.98462318e-04,0.00000000e+00
2.09619141e-02,5.85464142e+02,4.19481458e+00,2.19772325e-02,7.33915050e-05,8.07633902e-05,2.09976790e-01,7.80227319e-04,1.61088321e-02,6.23336054e-04,1.98525853e-04,0.00000000e+00
2.09633789e-02,5.94321957e+02,4.25508120e+00,2.18533882e-02,7.94410641e-05,8.62803635e-05,2.09424647e-01,8.00757334e-04,1.68177354e-02,6.08507691e-04,1.98273916e-04,0.00000000e+00
2.09648437e-02,6.03217488e+02,4.31554239e+00,2.17287855e-02,8.57789121e-05,9.20936809e-05,2.08862367e-01,8.19839035e-04,1.75399192e-02,5.93746620e-04,1.97715108e-04,0.00000000e+00
2.09663086e-02,6.12144872e+02,4.37615688e+00,2.16034505e-02,9.24040809e-05,9.82225084e-05,2.08290174e-01,8.37467353e-04,1.82750411e-02,5.79123896e-04,1.96859280e-04,0.00000000e+00
2.09677734e-02,6.21098595e+02,4.43688595e+00,2.14774083e-02,9.93151015e-05,1.04687760e-04,2.07708270e-01,8.53653901e-04,1.90227732e-02,5.64699204e-04,1.95717367e-04,0.00000000e+00
2.09692383e-02,6.30073478e+02,4.49769347e+00,2.13506829e-02,1.06510069e-04,1.11512091e-04,2.07116830e-01,8.68425324e-04,1.97828047e-02,5.50521951e-04,1.94301202e-04,0.00000000e+00
2.09707031e-02,6.39064672e+02,4.55854579e+00,2.12232971e-02,1.13986706e-04,1.18719881e-04,2.06516002e-01,8.81821523e-04,2.05548432e-02,5.36632427e-04,1.92623363e-04,0.00000000e+00
2.09736328e-02,6.57082353e+02,4.68029065e+00,2.09666336e-02,1.29771869e-04,1.34354980e-04,2.05287036e-01,9.04657616e-04,2.21335561e-02,5.09816662e-04,1.88526972e-04,0.00000000e+00
2.09765625e-02,6.75114341e+02,4.80186187e+00,2.07075860e-02,1.46642567e-04,1.51811348e-04,2.04022912e-01,9.22830603e-04,2.37559687e-02,4.84405813e-04,1.83578482e-04,0.00000000e+00
2.09794922e-02,6.93133286e+02,4.92307545e+00,2.04462957e-02,1.64572496e-04,1.71329972e-04,2.02723884e-01,9.36969572e-04,2.54204955e-02,4.60478700e-04,1.77890370e-04,0.00000000e+00
2.09824219e-02,7.11115824e+02,5.04377735e+00,2.01828878e-02,1.83533711e-04,1.93169765e-04,2.01389773e-01,9.47771947e-04,2.71259114e-02,4.38051313e-04,1.71575043e-04,0.00000000e+00
2.09853516e-02,7.29042118e+02,5.16384004e+00,1.99174730e-02,2.03497528e-04,2.17603329e-04,2.00020008e-01,9.55965980e-04,2.88713426e-02,4.17095958e-04,1.64742593e-04,0.00000000e+00
2.09882812e-02,7.46895401e+02,5.28315911e+00,1.96501486e-02,2.24435125e-04,2.44912139e-04,1.98613657e-01,9.62281878e-04,3.06562450e-02,3.97556159e-04,1.57499136e-04,0.00000000e+00
2.09912109e-02,7.64661546e+02,5.40165002e+00,1.93810016e-02,2.46317889e-04,2.75381335e-04,1.97169483e-01,9.67430883e-04,3.24803707e-02,3.79357810e-04,1.49945622e-04,0.00000000e+00
2.09941406e-02,7.82328668e+02,5.51924514e+00,1.91101100e-02,2.69117553e-04,3.09294259e-04,1.95685989e-01,9.72091130e-04,3.43437267e-02,3.62417239e-04,1.42176995e-04,0.00000000e+00
2.09970703e-02,7.99886754e+02,5.63589102e+00,1.88375462e-02,2.92806167e-04,3.46926907e-04,1.94161484e-01,9.76898938e-04,3.62465282e-02,3.46646850e-04,1.34281610e-04,0.00000000e+00
2.10000000e-02,8.17327341e+02,5.75154588e+00,1.85633788e-02,3.17355945e-04,3.88542453e-04,1.92594133e-01,9.82444203e-04,3.81891476e-02,3.31958935e-04,1.26340835e-04,0.00000000e+00
2.10029297e-02,8.34643216e+02,5.86617743e+00,1.82876756e-02,3.42739028e-04,4.34385976e-04,1.90982021e-01,9.89268707e-04,4.01720626e-02,3.18268165e-04,1.18428792e-04,0.00000000e+00
2.10058594e-02,8.51828160e+02,5.97976090e+00,1.80105057e-02,3.68927181e-04,4.84679529e-04,1.89323212e-01,9.97866361e-04,4.21958033e-02,3.05493117e-04,1.10612206e-04,0.00000000e+00
2.10087891e-02,8.68876723e+02,6.09227726e+00,1.77319417e-02,3.95891469e-04,5.39617644e-04,1.87615806e-01,1.00868460e-03,4.42609009e-02,2.93557148e-04,1.02950331e-04,0.00000000e+00
2.10117187e-02,8.85784028e+02,6.20371175e+00,1.74520622e-02,4.23601921e-04,5.99363381e-04,1.85857996e-01,1.02212636e-03,4.63678385e-02,2.82388806e-04,9.54949682e-05,0.00000000e+00
2.10146484e-02,9.02545605e+02,6.31405250e+00,1.71709535e-02,4.52027190e-04,6.64044979e-04,1.84048123e-01,1.03855220e-03,4.85170040e-02,2.71921955e-04,8.82905394e-05,0.00000000e+00
2.10175781e-02,9.19157242e+02,6.42328942e+00,1.68887112e-02,4.81134252e-04,7.33753160e-04,1.82184727e-01,1.05828240e-03,5.07086479e-02,2.62095688e-04,8.13742470e-05,0.00000000e+00
2.10205078e-02,9.35614874e+02,6.53141322e+00,1.66054420e-02,5.10888115e-04,8.08539119e-04,1.80266590e-01,1.08159874e-03,5.29428435e-02,2.52854138e-04,7.47762947e-05,0.00000000e+00
2.10234375e-02,9.51914476e+02,6.63841454e+00,1.63212646e-02,5.41251585e-04,8.88413205e-04,1.78292784e-01,1.10874604e-03,5.52194530e-02,2.44146206e-04,6.85201780e-05,0.00000000e+00
2.10263672e-02,9.68051985e+02,6.74428323e+00,1.60363110e-02,5.72185071e-04,9.73344296e-04,1.76262703e-01,1.13993337e-03,5.75380980e-02,2.35925265e-04,6.26230367e-05,0.00000000e+00
2.10292969e-02,9.84023238e+02,6.84900783e+00,1.57507271e-02,6.03646439e-04,1.06325984e-03,1.74176098e-01,1.17533500e-03,5.98981344e-02,2.28148839e-04,5.70960651e-05,0.00000000e+00
2.10322266e-02,9.99823914e+02,6.95257505e+00,1.54646732e-02,6.35590927e-04,1.15804655e-03,1.72033104e-01,1.21509114e-03,6.22986340e-02,2.20778288e-04,5.19449700e-05,0.00000000e+00
2.10351562e-02,1.01544951e+03,7.05496939e+00,1.51783240e-02,6.67971116e-04,1.25755167e-03,1.69834255e-01,1.25930854e-03,6.47383705e-02,2.13778485e-04,4.71704681e-05,0.00000000e+00
2.10380859e-02,1.03089579e+03,7.15617641e+00,1.48918689e-02,7.00736950e-04,1.36158485e-03,1.67580502e-01,1.30806116e-03,6.72158112e-02,2.07117468e-04,4.27688130e-05,0.00000000e+00
2.10410156e-02,1.04615866e+03,7.25618133e+00,1.46055113e-02,7.33835812e-04,1.46992035e-03,1.65273217e-01,1.36139079e-03,6.97291132e-02,2.00766205e-04,3.87323396e-05,0.00000000e+00
